"","Incident_Number","lon","lat"
"1",2014000236,-92.296443,38.951491
"2",2014000330,-92.3262064,38.9491832
"3",2014000299,-93.976114,39.0086661
"4",2014000067,-92.3251634,38.9410178
"5",2014000008,-92.3136344,38.9138985
"6",2014000019,-92.3532908,38.9390821
"7",2014000285,-93.9760584,39.0086649
"8",2014000435,-93.9763364,39.0086708
"9",2014000063,-92.2867917,38.9435138
"10",2014000440,-92.3328086,38.9689878
"11",2014000242,-93.9761696,39.0086673
"12",2014000082,-92.3399966,38.9328587
"13",2014000152,-92.2924802,38.9816011
"14",2014000425,-93.9764475,39.0086731
"15",2014000453,-93.9763364,39.0086708
"16",2014000379,-92.3218363,38.9640047
"17",2014000315,-92.3643646,38.9559969
"18",2014000344,-93.9761974,39.0086679
"19",2014000362,-93.9761974,39.0086679
"20",2014000075,-92.2867059,38.9434343
"21",2014000030,-92.3105627,38.933127
"22",2014000610,-92.297848,38.943778
"23",2014000365,-92.2960467,38.9488493
"24",2014000282,-92.2967673,38.9548952
"25",2014000085,-92.2867917,38.9435138
"26",2014000529,-92.2490401,38.9851034
"27",2014000058,-92.3195998,38.9490258
"28",2014000306,-92.3351856,38.9175175
"29",2014001201,-92.3400087,38.9646476
"30",2014001185,-92.3105627,38.933127
"31",2014001053,-92.3155425,38.9331147
"32",2014001187,-92.3054714,39.0081444
"33",2014001097,-92.3361484,38.9169034
"34",2014001109,-92.364336,38.928149
"35",2014001040,-92.3056452,38.9118212
"36",2014001149,-92.3087637,38.9484087
"37",2014001068,-92.3351856,38.9175175
"38",2014001059,-92.3054714,39.0081444
"39",2014001039,-92.3334197,38.9811775
"40",2014000619,-92.3449605,38.962257
"41",2014000975,-92.3495657,38.9008016
"42",2014001094,-92.3284987,38.9775065
"43",2014000818,-92.3239452,38.9126096
"44",2014001050,-92.2867917,38.9435138
"45",2014001164,-92.2863804,39.0009375
"46",2014001171,-92.3435247,38.9526799
"47",2014001160,-92.33012,38.9505309
"48",2014001090,-92.3260623,38.9814675
"49",2014000863,-92.3336286,38.8995302
"50",2014001102,-92.382358,38.9570491
"51",2014001159,-92.3054714,39.0081444
"52",2014000945,-92.2937744,38.9628049
"53",2014000722,-92.319715,38.9926021
"54",2014001105,-92.3177967,38.9566487
"55",2014001175,-92.2924802,38.9816011
"56",2014001075,-92.3231444,38.9662877
"57",2014001091,-92.357478,38.934891
"58",2014001073,-92.3257253,38.9863446
"59",2014001649,-92.3131859,38.9605535
"60",2014001523,-92.2931207,38.9810591
"61",2014001823,-92.3689126,38.961251
"62",2014001859,-92.3219103,38.9567041
"63",2014001830,-92.309177,38.9133076
"64",2014001821,-92.3689569,38.9609653
"65",2014001464,-92.3169892,38.9075072
"66",2014001796,-92.3532908,38.9390821
"67",2014001782,-92.3105627,38.933127
"68",2014001451,-92.3279786,38.9512173
"69",2014001833,-92.3361484,38.9169034
"70",2014001819,-92.3278246,38.9521984
"71",2014001781,-92.316096,38.9949027
"72",2014001692,-92.2867917,38.9435138
"73",2014001561,-92.309177,38.9133076
"74",2014001444,-92.3620287,38.9306427
"75",2014001457,-92.3532908,38.9390821
"76",2014001637,-92.2933128,38.9798245
"77",2014001730,-92.3219683,38.9512461
"78",2014001566,-92.3364707,38.8991453
"79",2014001805,-92.309177,38.9133076
"80",2014001485,-92.3300973,38.9839716
"81",2014001809,-92.3257253,38.9863446
"82",2014001761,-92.3351856,38.9175175
"83",2014001613,-92.3219103,38.9567041
"84",2014001794,-92.3532908,38.9390821
"85",2014001851,-92.2850098,38.9644774
"86",2014001227,-92.3105627,38.933127
"87",2014001263,-92.3209055,38.9613218
"88",2014001834,-92.3043529,38.9731394
"89",2014001384,-92.3479537,38.915471
"90",2014001790,-92.3532908,38.9390821
"91",2014001858,-92.3378446,38.9188631
"92",2014001826,-92.3689569,38.9609653
"93",2014001812,-92.3400087,38.9646476
"94",2014001363,-92.2867917,38.9435138
"95",2014001579,-92.3689569,38.9609653
"96",2014001835,-92.3257253,38.9863446
"97",2014002110,-92.3112634,38.9706172
"98",2014002399,-92.3173692,38.9353926
"99",2014002227,-92.3114737,38.9774968
"100",2014002082,-92.2934551,38.9492411
"101",2014002178,-92.3094517,38.9629207
"102",2014002079,-92.3877095,38.9337179
"103",2014002429,-92.3386888,38.953286
"104",2014002207,-92.3613052,38.956581
"105",2014001870,-92.2867917,38.9435138
"106",2014002437,-92.3378446,38.9188631
"107",2014002421,-92.3209055,38.9613218
"108",2014002055,-92.3273098,38.9469646
"109",2014002406,-92.3402849,38.8960789
"110",2014001897,-92.3495657,38.9008016
"111",2014002071,-92.2934551,38.9492411
"112",2014002144,-92.2933128,38.9798245
"113",2014002397,-92.3402841,38.8967884
"114",2014002048,-92.3340918,38.9602364
"115",2014002331,-92.327074,38.972765
"116",2014002303,-92.3386888,38.953286
"117",2014002210,-92.2916209,38.9820646
"118",2014002119,-92.3011876,38.9688231
"119",2014002201,-92.2954781,38.978912
"120",2014002105,-92.2933128,38.9798245
"121",2014002309,-92.3386888,38.953286
"122",2014002441,-92.3255045,38.9601176
"123",2014001876,-92.3539026,38.9598907
"124",2014002097,-92.2933128,38.9798245
"125",2014002476,-92.309177,38.9133076
"126",2014001901,-92.3257253,38.9863446
"127",2014002355,-92.2867917,38.9435138
"128",2014002149,-92.3279786,38.9512173
"129",2014001908,-92.3744512,38.9572205
"130",2014001930,-92.3190848,38.9463977
"131",2014002360,-92.3256576,38.9529447
"132",2014001944,-92.2866557,38.9653078
"133",2014002039,-92.3015083,38.963168
"134",2014002391,-92.3093044,38.964994
"135",2014002203,-92.298696,38.975563
"136",2014001905,-92.2952856,38.948154
"137",2014001997,-92.3282668,38.9567488
"138",2014002466,-92.3402849,38.8960789
"139",2014002447,-92.3255045,38.9601176
"140",2014002446,-92.3096705,38.9853987
"141",2014002298,-92.2960467,38.9488493
"142",2014002176,-92.3340918,38.9602364
"143",2014002280,-92.3391535,38.9480248
"144",2014002026,-92.3126954,38.969037
"145",2014002213,-92.336769,38.9085182
"146",2014001929,-92.2934551,38.9492411
"147",2014001893,-92.2713538,38.9687185
"148",2014002479,-92.3620287,38.9306427
"149",2014002074,-92.2934551,38.9492411
"150",2014002132,-92.2869671,38.9843551
"151",2014002174,-92.354183,38.966011
"152",2014002464,-92.3186918,39.0044693
"153",2014002412,-92.3184506,38.9524986
"154",2014002223,-92.3031323,38.9677587
"155",2014002376,-92.309177,38.9133076
"156",2014002333,-92.2867059,38.9434343
"157",2014002383,-92.3238185,38.9560269
"158",2014002112,-92.2916209,38.9820646
"159",2014002379,-92.3143768,38.9482219
"160",2014002335,-92.3282668,38.9567488
"161",2014001894,-92.344332,38.9031808
"162",2014002271,-92.309177,38.9133076
"163",2014002291,-92.3022983,38.9680631
"164",2014002205,-92.3043529,38.9731394
"165",2014002445,-92.3169892,38.9075072
"166",2014002202,-92.3265218,38.9499904
"167",2014002272,-92.3177967,38.9566487
"168",2014002185,-92.2931207,38.9810591
"169",2014002217,-92.3219103,38.9567041
"170",2014002486,-92.3351856,38.9175175
"171",2014002503,-92.3233294,38.964386
"172",2014002492,-92.3186918,39.0044693
"173",2014002491,-92.3696418,38.9518782
"174",2014003351,-92.3219103,38.9567041
"175",2014003167,-92.3621535,38.9603062
"176",2014003079,-92.3361484,38.9169034
"177",2014003536,-92.3121816,38.9498319
"178",2014003592,-92.3105627,38.933127
"179",2014003518,-92.2916261,38.9332396
"180",2014003935,-92.3364546,38.9577221
"181",2014003499,-92.302225,38.9444348
"182",2014004058,-92.3334197,38.9811775
"183",2014004075,-92.3326977,38.9508178
"184",2014003860,-92.3181078,38.9842153
"185",2014003788,-92.302225,38.9444348
"186",2014003603,-92.3084332,38.9478345
"187",2014004088,-92.3340918,38.9602364
"188",2014003694,-92.3121816,38.9498319
"189",2014003508,-92.297848,38.943778
"190",2014004061,-92.2519418,38.9608744
"191",2014003702,-92.302225,38.9444348
"192",2014003524,-92.3121816,38.9498319
"193",2014003685,-92.3105627,38.933127
"194",2014004040,-92.3200439,38.9643324
"195",2014004051,-92.2931207,38.9810591
"196",2014003609,-92.3221048,38.9429599
"197",2014004238,-92.3155425,38.9331147
"198",2014004766,-92.3361484,38.9169034
"199",2014004303,-92.3565317,38.9159303
"200",2014004240,-92.3255045,38.9601176
"201",2014004503,-92.2867917,38.9435138
"202",2014004525,-92.3213067,38.9650288
"203",2014004516,-92.3218363,38.9640047
